0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
87.8142857143,84.7428571429,100.885714286,124.942857143,141.914285714,149.857142857,159.942857143,170.857142857,176.0,168.342857143,161.914285714,156.742857143,149.628571429,126.828571429,105.685714286,96.5714285714,96.3142857143,97.2571428571,100.828571429,98.5428571429,0.0
95.2,85.2,100.2,118.942857143,135.171428571,141.485714286,155.971428571,168.085714286,174.371428571,175.8,165.657142857,151.714285714,138.085714286,118.514285714,97.0857142857,87.2,89.8571428571,88.2571428571,87.8285714286,85.0428571429,0.0
81.7428571429,96.0285714286,119.457142857,133.457142857,136.628571429,147.828571429,164.771428571,175.257142857,180.114285714,169.742857143,152.285714286,136.2,126.057142857,114.828571429,105.742857143,103.228571429,101.342857143,101.428571429,103.714285714,105.071428571,0.0
87.9714285714,104.114285714,143.828571429,169.4,168.942857143,170.428571429,171.542857143,174.742857143,179.342857143,166.285714286,140.8,121.228571429,112.314285714,102.6,96.8857142857,97.8285714286,96.9142857143,94.2285714286,93.5142857143,100.871428571,0.0
98.6714285714,83.3142857143,100.028571429,119.628571429,134.942857143,145.828571429,164.857142857,175.4,179.371428571,173.714285714,165.571428571,159.114285714,135.371428571,105.885714286,85.0285714286,87.0,85.2571428571,85.9142857143,89.0571428571,93.9857142857,0.0
92.3571428571,83.5714285714,105.142857143,127.514285714,137.257142857,146.657142857,163.114285714,176.285714286,174.8,173.0,166.657142857,158.114285714,130.514285714,102.314285714,85.9714285714,86.2571428571,84.8857142857,83.1428571429,85.5714285714,88.8571428571,0.0
94.8571428571,95.5714285714,91.1428571429,102.171428571,120.914285714,130.6,143.971428571,163.971428571,177.914285714,172.171428571,169.485714286,153.914285714,124.4,98.3428571429,90.3428571429,92.8,91.9142857143,93.6,94.6,95.6,0.0
92.7428571429,97.0285714286,107.457142857,127.228571429,140.542857143,153.6,159.828571429,171.514285714,177.228571429,168.628571429,144.057142857,121.8,106.542857143,98.9142857143,90.8571428571,91.5714285714,94.2,95.6571428571,92.2285714286,90.9428571429,0.0
97.1714285714,97.3142857143,108.028571429,120.828571429,128.371428571,136.142857143,151.314285714,167.828571429,180.8,172.742857143,161.371428571,136.857142857,117.371428571,97.5428571429,91.0,84.9428571429,83.6857142857,85.4571428571,89.0285714286,84.2428571429,0.0
96.0857142857,89.6571428571,103.514285714,116.085714286,121.342857143,142.057142857,167.085714286,179.428571429,175.457142857,171.571428571,173.085714286,162.714285714,144.942857143,119.085714286,107.771428571,99.1714285714,101.714285714,101.657142857,104.228571429,99.4428571429,0.0
85.6857142857,91.2571428571,104.114285714,118.742857143,124.542857143,135.657142857,152.057142857,169.628571429,179.285714286,166.371428571,152.028571429,129.657142857,115.114285714,96.4571428571,90.1714285714,86.9714285714,87.9714285714,88.8,89.8,89.3,0.0
88.4571428571,88.1714285714,92.7428571429,121.571428571,154.057142857,168.685714286,167.2,169.542857143,173.257142857,162.8,146.0,132.571428571,131.657142857,121.142857143,109.914285714,101.457142857,101.914285714,103.485714286,108.342857143,103.914285714,0.0
96.8714285714,93.5142857143,91.2285714286,99.0,110.857142857,136.4,160.028571429,177.257142857,175.8,169.742857143,165.828571429,143.2,116.542857143,95.3428571429,97.8857142857,97.9714285714,99.2571428571,95.2857142857,92.1428571429,98.7142857143,0.0
94.2142857143,90.1428571429,100.285714286,115.885714286,126.6,135.257142857,152.028571429,168.885714286,175.914285714,174.085714286,159.857142857,141.028571429,125.914285714,114.371428571,99.8285714286,91.6285714286,93.6285714286,96.1142857143,97.2571428571,92.6857142857,0.0
96.0857142857,91.6571428571,106.514285714,121.714285714,124.428571429,130.914285714,151.0,170.542857143,184.028571429,163.4,130.571428571,101.314285714,99.1142857143,97.0,93.1714285714,92.6857142857,94.6571428571,93.0285714286,90.3142857143,96.6714285714,0.0
98.7714285714,90.9142857143,96.6285714286,107.371428571,122.314285714,135.057142857,156.0,169.857142857,175.628571429,167.685714286,141.857142857,113.0,100.171428571,98.0857142857,91.0,87.4857142857,89.3142857143,89.0,88.0,90.0,0.0
86.3857142857,97.4571428571,104.314285714,112.742857143,120.085714286,129.771428571,151.971428571,172.485714286,177.514285714,176.885714286,153.057142857,120.114285714,96.7714285714,99.6571428571,95.1428571429,95.2571428571,96.3142857143,94.7714285714,90.4857142857,99.1285714286,0.0
90.9857142857,85.0571428571,97.9142857143,112.742857143,113.0,131.428571429,158.742857143,178.4,177.285714286,175.6,172.428571429,160.914285714,147.2,124.371428571,103.914285714,92.4285714286,93.6,95.1714285714,96.8857142857,93.0285714286,0.0
88.1428571429,95.4285714286,90.8571428571,101.657142857,124.6,140.2,152.114285714,166.914285714,179.742857143,178.314285714,167.2,145.6,130.114285714,117.742857143,106.857142857,100.857142857,104.942857143,106.085714286,102.942857143,103.014285714,0.0
96.6714285714,85.3142857143,100.028571429,120.828571429,129.971428571,144.828571429,160.857142857,176.2,178.485714286,170.885714286,155.8,148.228571429,132.714285714,108.171428571,89.0285714286,87.5428571429,88.3142857143,89.6,91.6,90.6,0.0
83.0571428571,94.7714285714,110.342857143,121.571428571,124.971428571,133.685714286,149.971428571,168.428571429,181.742857143,172.571428571,152.085714286,126.742857143,112.914285714,100.6,92.5142857143,90.7428571429,91.3714285714,93.2,91.2,89.7,0.0
